Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Ace RC,C0915,Analog,0.32,0.87,0.45,0.93,4.8,20.8,4.8,0.10,(add),Single Bearing,Plastic,30.99
Ace RC,C0915,Analog,0.32,0.87,0.45,0.93,6.0,26.4,6.0,0.08,(add),Single Bearing,Plastic,30.99
Ace RC,C1016,Analog,0.32,0.87,0.45,0.93,4.8,22.2,4.8,0.10,(add),Single Bearing,Metal,17.99
Ace RC,DS0606,Digital,2.12,1.59,0.80,1.56,4.8,58.0,4.8,0.07,Coreless,Dual Bearings,Plastic,83.95
Ace RC,DS0606,Digital,2.12,1.59,0.80,1.56,6.0,74.0,6.0,0.06,Coreless,Dual Bearings,Plastic,83.95
Ace RC,DS1013,Digital,2.19,1.62,0.79,1.51,6.0,180.5,6.0,0.11,Coreless,(add),Metal,93.99
Ace RC,DS1015,Digital,2.33,1.65,0.81,1.56,6.0,201.4,6.0,0.11,Coreless,Single Bearing,Metal,96.99
Ace RC,DS1111,Digital,2.28,1.62,0.79,1.51,4.8,118.0,4.8,0.16,Coreless,(add),Metal,92.99
Ace RC,DS1211,Digital,2.19,1.62,0.79,1.51,6.0,149.9,6.0,0.13,Coreless,(add),Metal,79.99
Ace RC,DS1213,Digital,2.33,1.65,0.81,1.56,4.8,133.0,4.8,0.16,Coreless,(add),Metal,96.99
Ace RC,DS1313,Digital,2.33,1.65,0.81,1.56,6.0,173.6,6.0,0.13,Coreless,Single Bearing,Metal,74.99
Ace RC,S1807MG,Analog,1.71,1.59,0.79,1.49,4.8,95.8,4.8,0.18,(add),Dual Bearings,Metal,39.99
Ace RC,S1903,Analog,1.64,1.59,0.79,1.49,4.8,41.7,4.8,0.19,(add),Bushing,Plastic,14.99
Ace RC,S1903MG,Analog,1.78,1.59,0.79,1.49,4.8,41.7,4.8,0.19,(add),Bushing,Hybrid,16.99
Ace RC,S2008MG,Analog,1.71,1.59,0.79,1.49,4.8,108.3,4.8,0.21,(add),Dual Bearings,Metal,44.99
Ace RC,WQ2811,(add),4.23,2.28,1.10,2.05,6.0,153.0,6.0,0.28,(add),(add),(add),(add)
Airtronics/ Sanwa,141MG,(add),0.89,1.42,0.66,1.29,4.8,45.0,4.8,0.20,Coreless,(add),Metal,59.95
Airtronics/ Sanwa,94051Z,Analog,0.78,1.34,0.55,1.34,4.8,18.0,4.8,0.19,3-pole,Bushing,Plastic,29.95
Airtronics/ Sanwa,94051Z,Analog,0.78,1.34,0.55,1.34,6.0,23.0,6.0,0.15,3-pole,Bushing,Plastic,29.95
Airtronics/ Sanwa,94091Z,Analog,0.32,0.91,0.44,0.87,4.8,18.0,4.8,0.12,3-pole,Bushing,Plastic,13.99
Airtronics/ Sanwa,94091Z,Analog,0.32,0.91,0.44,0.87,6.0,23.0,6.0,0.10,3-pole,Bushing,Plastic,13.99
Airtronics/ Sanwa,94102Z,Analog,1.59,1.54,0.79,1.42,4.8,42.0,4.8,0.20,3-pole,Bushing,Plastic,11.99
Airtronics/ Sanwa,94102Z,Analog,1.59,1.54,0.79,1.42,6.0,53.0,6.0,0.16,3-pole,Bushing,Plastic,11.99
